item_id,language,name,nb_views,description,created_at,Difficulty,Job,Software,Theme,duration,type
510,en,What is OneDrive for Business?,1114.0,"OneDrive for Businessis an online libraryto store and organize allyour professional documents.As a part of Office 365,OneDrive for Business allows youto work with your organizationthanks to functionalitiessuch as direct access to the addressbook of your organization.You can use OneDrive forBusiness on any devices.To start using OneDrive,login to Office 365 portal.Then in the app launcher, select OneDrive.This page is your online storage space.You manage your filesand folders like you didwith your file explorer in Windows.You create new documents, delete them,or manage sharing with other people.",2016,Beginner,[],['OneDrive'],['Discover'],42.0,tutorial
511,en,"Add, restore, delete documents on OneDrive",547.0,"To create a new document in OneDriveclick New, and then a document type.Foe example, I create a Word document.When Word Online is openedyou can start working.When the document is doneyou don't have to save itbecause Word Onlinesaves it automatically.To come back to OneDrive for businesssimply click on your nameat the top left side.Your new document is added.To upload an existing filesimply drag it from your desktopand drop in the library.You can also select upload,and then browse the file you want.The document appears in your library.To download a file selectit and click on Download,or right click, then Download.By clicking on a fileand selecting detailsa menu on the right opensso you can see a previewof your document and more information.You can move your document directlyby doing a drag and dropto the folder you want.To delete a file, selectit and click on Delete.Be careful with the alertmessages that can appear.For example, when you'redownloading an existing fileon OneDrive, an alertappears at the top right.By clicking on it you canchoose to replace the document.In the navigation tab,you find the groupsthat you are a part of.You can also gain access to groups filesby clicking on one of them.",2016,Beginner,[],['OneDrive'],"['Share', 'Produce', 'Organize']",122.0,tutorial
512,en,Share documents,607.0,"By default, all content is private, so you don’t have to worry about security. But you can share any type of document on your OneDrive library with co-workers or externalpeople of your organisation.And grant them read or editing permissions. The document doesn’t have to be a Word or other Office file.To share a folder or adocument in your library, select a file and click on the “Share” button.Next, enter the name of the person and then click on the drop-down list at the top of the window to determine who will have access to the sharinglink and to grant authorisations:Choose “Anyone” if you want toinclude people outside your organisation.This option may beoverruled by your administrator.In that case, the option willbe greyed out as in our example.Choose “People within your organization” to allow all members of your organisation to access the link, whether they receive it from you directly or whether it was transferred from a third party.Choose “People with existingaccess” to allow all memberswho already have access tothe site to access the link,whether they receive it from youdirectly or from a third party.Lastly, choose “Specificpeople” to allow access only topeople you have specified, even if other people already have access to the element.In this case, if the link has been transferred, only people who already have access to the element will be able to use the link.Next, determine whetherthese people will be able to editor simply consult the document by checking or unchecking the “Allow editing” box. You may also want to write a message.Once it’s done, click on “Send”.If you want to send a linkby email, select a documentand click the “Copy Link” button,You can also choose thepeople for whom you want the link to work and determine whether theywill have editing privileges or not.You can now copy andcommunicate the document link.Lastly, you can also open anew messaging window wherethe sharing link has alreadybeen automatically inserted.The “sharing” column shows you thesharing statue of a file or a folder.This icon means there is anexisting sharing for this document.To modify user’s permissions who already have an access to a folder or a document,click on this icon in the “Sharing” column and modify authorisations in the pane that is displayed to the right by clicking on the “Manage access” link and deciding whether to grant editing or only reading privileges, or whether you want to stop sharing altogether.All these options may alsobe available at the same timewhen you click on “GrantAccess” from the Share pane.A window opens which allowyou to invite people with whom you want to share this document.To get a sharing link.And also view the list of people withwhom you already share this document.",2016,Beginner,[],['OneDrive'],"['Share', 'Collaborate']",176.0,tutorial
513,en,Recycle bin,278.0,"When you delete a file or afolder, OneDrive gives youa chance to undo your decisionbut even if you miss the opportunity,you can still get the file back.In the navigationpane, click Recycle bin.As you can see OneDrivedoesn't really delete itemsand moves them here so you canget them back by selecting oneor more items and clicking Restore.When you do, OneDrive moves themback to their original locations.You can click Empty recyclebin to permanently deletethe items or let OneDrive do itfor you automatically after30 days or if yourRecycle bin is full.",2016,Beginner,"['Accounting', 'Financial', 'Human resources', 'Project manager', 'Project management', 'Assistant', 'Communication', 'Marketing']",['OneDrive'],"['Produce', 'Organize']",46.0,tutorial
514,en,Sync OneDrive for Business to your computer (Windows 10 - 1709),312.0,"The one drive synchronization application is available with office 2016 or can be downloaded free of charge on the microsoft.com website. It allows you to synchronize your library with your computer and then to use the files locally and directly on your PC without having to be connected. In this case, one drive will perform a synchronization once you re connect to the Internet.2 cases are possible when synchronizing a library.If you want to synchronize a personal one drive library like this one by clicking on sync. The one drive app opens if the set up one drive dialog box appears sign in with your account.If you are already signed in OneDrive opens and you'll be at the next step.By default the library will be saved on the users folder if you want to change the location click change location.This option is available only at the first synchronization.Click next the app offers you to choose the folders you want to sink.Click again on next.Once it's done, I click on open my OneDrive folder to see where my files are located in windows Explorer.The second case happens when you want to synchronize a library attached to a SharePoint site by clicking on sync the one drive app opens.Followed the same steps as described earlier and then click on start sync.Once the synchronization has been completed windows Explorer will open in the file location.In this example, we have replicated both cases, we therefore have a one drive file followed by the company name and another file with the company name only.One file corresponds to your personal one drive and the other one to a SharePoint space created for the company.I open this one.The icons next to the files show this sync status.A green check mark means the file is synced a blue mark means that the file is in synchronization. And if a problem occurs during the synchronization a Red Cross Mark appears.You can now open an edit these documents all modifications are automatically synchronized on Office 365 I can choose to open this document with the online app on a web browser.From the windows Explorer on my computer.Or directly from one of the apps installed on my computer.You can update your contents even if you're not connected to the Internet. When you are away. For example, all changes will be automatically downloaded next time you're back online.",2016,Beginner,[],['OneDrive'],"['Produce', 'Organize']",163.0,tutorial
515,en,Work with documents in a synced library folder (Windows 10 - 1709),253.0,"Once you sync your one drive library to your computer you can work with these files just as you did, with other files in your file system. You can find your sink library in the Navigation Pane from your windows Explorer.Your library will appear in the one drive folder an other libraries from SharePoint sites will appear here.So if I'm in word for example, I can open the files in this folder or I can create a new file and save it to my sync folder.When I'm online. The new file immediately gets uploaded into the site library. Same if you delete a file on your sync folder. The file will be deleted in share point at the next sync.What happened if you don't have permissions to do it?The file will get re download it into the library folder during the next sync.Same if you don't have permissions to add a new file. It just doesn't upload and you see an error mark on the file in your sink folder.A1 drive menu. Let's me start activities with files in the sink folder. Let's have a look.Here, I right click on a document.I can then choose to share the folder to display it in the browser and to access the synchronized folders.I can also open the OneDrive Menu at anytime from my windows taskbar.These options allow me to manage the synchronization.",2016,Beginner,[],['OneDrive'],['Produce'],87.0,tutorial
516,en,Change location where you sync libraries on your computer (Windows 10 - 1709),231.0,"One drive automatically synchronizes the libraries in your windows personal user folder on the see drive, however you can change the synchronization location. For example, if you don't have enough room left on your C drive.If you have already synced libraries to one drive the first step is to stop syncing these libraries.To do this click the one drive icon in the taskbar, then settings.Select a folder.And then click stop sync you have to repeat this process for each folder you need.When the last folder is about to be synchronized. A window will alert you that the connection with your account will be interrupted.Now go to the first library, you want to sink.Click sync at the Top.In the one drive app click the change location link.If this link doesn't appear that means you're still stinking a library with one drive.Browse the folder you want to set as the root folder for your library on your computer.The one drive app shows the new roots, Inc location.Click next.Now all libraries, you sync will be synchronized in the new route location.To stop syncing a folder from one drive. Open your File Explorer right click. The one drive folder and select choose one drive folders to sync.Uncheck this box to stop syncing all folders and files or uncheck them 1 by 1.Now to change location when you have stopped syncing. All your folders right click on the one drive icon in your taskbar. Then settings in the window that opens click on unlink this PC at the next sinking. You will be able to change this location.",2016,Intermediate,"['Accounting', 'Financial', 'Human resources', 'Project manager', 'Project management', 'Assistant', 'Communication', 'Marketing']",['OneDrive'],['Customize'],113.0,tutorial
526,en,Introduction and how to use Outlook Online,373.0,"To access the portalto check your email onlinego to portal.office.comand use the connectioninformation that you received.I now come to the onlinemessaging home page.We will discover togetherthe tool interfaceand different navigations menus.So, here we have the mailboxwith different folders,including inbox,the possibility of rightclicking on a folder,exactly like you can do onyour computer in Outlook.Select a folder, right click on itand we have a menu thatallows you to move downthis folder in a list, for example.Same for messages where various optionsare displayed when rightclicking on a message.The messaging is availablevia the App Launcher,same as the calendar availablevia the Calendar tile,and contacts by clickingon the People tile.Now we will see alloptions to update, edit,personalize your password and so on.Using the wheel, access 365's settings.The first interesting tool hereis the possibility tomodify your password,allowing to personalizeand secure your access,and also change the password you receivedto access this portal.So, we enter the old password, the new oneand the confirmation of this new password.Click on submit to save it andthe new password is applied.Back to the mailbox.If I want to create a new messageI click on New.To add recipient, Iclick on the To button,and my business directoryopens to choose the recipients.Go to the message panewith the shaping tools,then I click Send at the top.To summarize, we can basicallysay that everything we needis located at the top of the screen.",2016,Beginner,"['Accounting', 'Financial', 'Human resources', 'Project manager', 'Project management', 'Assistant', 'Communication', 'Marketing']",['Outlook Online'],['Discover'],111.0,tutorial
527,en,"Create a new message, with attachments and options",208.0,"To reply or create a newmessage in outlook web app,there are several possibilities.If you come from an existingmessage that you received 3 classicoptions are available to you,reply, reply all and forward atthe top of the navigation pan.We can find them at the top right sideof an email with more options too.The first one allows you to simplyreply to the first center of this email.Reply all allows you to reply to allrecipients from the original Mail andforward allows you to transfer thismessage to another person who is notthe initial recipient of the first message.This option that will use totransfer attachments which areincluded in the initial message,or you can use it if you wantto create a new message.Or if this person is part of your Contacts,you can find him in the search fieldand type the beginning of his name.Outlook shows me some results byclicking on this icon next to his name,the contact card of my colleagueappears and shows me details.Here I can send a message byclicking on this icon.A new window opens andI can write my message.Or I click on new at thetop to create a new message.The new message window opens.Hey, I can benefit from the recipienthistory by tapping the beginning of his name.Some results appear and I can choose myrecipient or click on the two buttonor CC button to open my contact list.From this page I can click on plusto add the contact to my recipients.I clicked save, come back to my message,I click on CC to add copy recipients.You can also send messages torecipients with the BCC box.BCC is the same as CC,but recipients in this fieldwill be hidden from other people.Here by default the field is not displayed,so I can find it by clicking onthe three dots and show BCC.Now I can click on it andadd recipients to this field.A type of subject and the message Iwant to send with some shaping options.You can display the window in fullscreen by clicking on this icon.A new window appears.You can open this window evenif you are writing your message.To add attachments,two possibilities using the attach buttonat the top to open my window Explorerand browse the file I want to send.Or drag and drop files from yourwindow Explorer to your message.My file is automatically inserted.I drag and drop another one.If you want more options,like setting more important toyour message or a request foran acknowledgement of receipt,click on the three dots here.You can set importance high,normal or low.This icon will inform recipients thatthis message has a high priority.And then the others options.I can request the deliveryor acknowledgement receipt.Now I can send my message if you don'twant it now you can save it as adraft by clicking on the three dots.You'll find it later in the draft folder.",2016,Beginner,"['Accounting', 'Financial', 'Human resources', 'Project manager', 'Project management', 'Assistant', 'Communication', 'Marketing']",['Outlook Online'],"['Customize', 'Communicate']",198.0,tutorial
528,en,Search and built-in filters,209.0,"How do we navigate in the numerousamount of messages we receive every day?Outlook web app can easily sort research anmanage your emails according to your needs.Let's start by the sort option.First, in the main window, this littlearrow shows several sorting indicators.First option allows you to display allyour inbox contents or the selected folder.Besides, I can quickly sortmessages that haven't been read.Messages that was sent tome as the main recipient.Then flagged to sort all messageson which you set a flag on it.Default view is all view.Some other criteria allow youto sort differently your inbox.In addition, with a little arrowI can sort by date by default.I'm already sorting by date.Bye send us to have a view which includeall received messages from the same people.I can sort by recipients by clicking on 2.By subject, by attachments and byimportance given by the messages sender.Also by size.When you use filters,don't forget to come back to sort by date.We are usually used to typing thisfilter to see the latest messageat the top of the list.In this list there is a conversations option,checked or unchecked.It's actually an activated.The conversation mode allows you togroup messages with the same subject.For example,if I have messages that are partof the same discussion to avoidhaving a redundant display,I can activate the conversation mode.I visualize only one message and when Iclick on the arrow I visualize all contents,my replies etc.It allows me to save space in my inboxes,display an have a groupincluding messages I sent myself.Then a search field that allows youto research messages or Contacts.You just have to type a keyword,for example meeting.Outlook gives you the possibilityto search by keywords.That's what interests me.So by clicking on meeting I would haveall messages that contains the word meeting.Weather in the subject in thebody of the message or the sender.I can also research by name.If your research gives too many results,or if you want to refine it,more options are displayedat the left side to displaymessages by period, for example,or expand research to other folders.",2016,Beginner,"['Accounting', 'Financial', 'Human resources', 'Project manager', 'Project management', 'Assistant', 'Communication', 'Marketing']",['Outlook Online'],['Research'],153.0,tutorial
